超能力组织生产,超能力组织生产：矿井核定生产能力90万吨/年，2024年1月生产原煤10.34万吨，月产量大于矿井核定(设计)生产能力10％。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项；《煤矿重大事故隐患判定标准》第四条第一项的规定。,《煤矿重大事故隐患判定标准》第四条第一项
造假，非法软件拦截屏蔽数据,对监控系统数据进行拦截屏蔽。自2024年1月起，采用第三方非法软件对井下甲烷传感器超限报警信息进行拦截屏蔽。2024年2月27日将31501工作面T0甲烷传感器7次瓦斯超限报警信息拦截屏蔽，导致超限报警数据信息未上传至国家矿山安全监察局陕西局监测预警平台。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第六项,《煤矿重大事故隐患判定标准》第十八条第六项
自然发火严重，未采取有效措施,"煤矿自然发火严重，未采取有效措施：矿井5-1煤为容易自燃煤层，2024年2月27日至3月11日，51106综采工作面处于末采阶段（工作面至停采线30m），未按照《51106综采工作面防灭火设计》足量喷洒阻化剂、灌浆，设计喷洒阻化剂35m3，实际喷洒28.54m3;设计灌浆1176m3,实际未进行灌浆。（违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第（九）项、《煤矿重大事故隐患判定标准》第十二条第（一）项，要求煤矿对矿长苗广东及其他分管负责人进行内部追责。）",《煤矿重大事故隐患判定标准》第十二条第一项
未实现风电、甲烷电闭锁,通风系统不完善、不可靠，掘进工作面正常工作的局部通风机停止运转停风后，在切断电源期间，断电范围内电气设备仍能人工送上电。2319回风顺槽掘进工作面正常工作的局部通风机自2024年3月14日03：23：21至2024年3月14日03：55：22停止运转后，风电闭锁装置工作不正常，在此期间该馈电开关自2024年3月14日03：29：30至2024年3月14日03：33：09处于有电状态。违反《煤矿安全规程》第一百六十四条第七项、《煤矿重大事故隐患判定标准解读》第八条第八项第2目、《煤矿重大事故隐患判定标准》第八条第八项、《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第五项。,《煤矿重大事故隐患判定标准》第八条第八项
整体承包后再次转包,实行整体承包的煤矿承包方再次转包。2022年6月1日，委托方陕西燎原煤业有限公司和承托方安源煤业集团股份有限公司签订《煤矿安全生产托管合同》，同日安源煤业集团股份有限公司与江西乐矿集团有限公司签订委托管理协议，约定由江西乐矿集团有限公司履行托管合同中承托方的托管义务。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十三项；《煤矿重大事故隐患判定标准》第十六条第四项。,《煤矿重大事故隐患判定标准》第十六条第四项
造假，伪造记录,煤矿总工程师履行安全生产岗位责任制弄虚作假（矿井处于停建状态）。2024年3月7日，煤矿2#主要通风机发生故障，造成矿井停风累计时长32分42秒，由煤矿总工程师组织调查 ，并上报《子长县恒发煤炭有限责任公司关于主要通风机发生停风故障分析处置报告》，原因为2#主要通风机1级变频器故障造成停风，未说明真实原因；检查时，发现未及时切换至1#主要通风机的原因为：1#主要通风机的蝶阀电动打开装置故障所致。检查组多次询问煤矿总工程师等人，仍隐瞒未及时切换风机的原因，事实上，总工程师2月2日已清楚该情况，并未及时采取措施处理。《处置报告》上有总工程师签字。违反《煤矿重大事故隐患判定标准》第十八条第五项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项。,《煤矿重大事故隐患判定标准》第十八条第五项
造假，非法设置限值,对监控系统数据进行修改及屏蔽。自2023年12月起矿井采用第三方软件，对井下甲烷传感器测定的数值进行限定，不同时段分别设置限值为0.69%或0.79%，并自动篡改限定数值以上的数据上传陕西矿山安全生产综合信息系统，导致监控系统不能反映真实的瓦斯监测数据。,《煤矿重大事故隐患判定标准》第十八条第六项
突出矿井未按照国家规定安设甲烷传感器,未按照国家规定安设甲烷传感器。1105运顺顶抽巷钻场3月4日施工顶抽巷穿层钻孔期间未安装甲烷传感器，监控系统显示3月5日16时35分才出现1105运顺顶抽巷钻场甲烷传感器数据。违反《防治煤与瓦斯突出细则》第三十二条第一项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第六项。,《煤矿重大事故隐患判定标准》第十八条第六项
造假，选择性上传数据,对安全监控系统数据进行删除及屏蔽。该矿人为频繁对监控系统数据上传国家矿山安全生产风险监测预警系统进行选择性屏蔽。3月3日至7日多次分时段屏蔽1105运顺顶抽巷、1105运顺顶抽巷分风口等地点甲烷传感器，2月26日至3月9日14时屏蔽110B综采工作面风速传感器。现场检查时1105运顺顶抽巷分风口处安装的风向传感器报警，地面监控系统中该传感器设置为测试状态，无传感器数据且不发出报警信息。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第六项。,《煤矿重大事故隐患判定标准》第十八条第六项
造假，人卡分离，隐瞒采面作业人数,"矿井为高瓦斯、冲击地压矿井，检查发现存在人卡分离、隐瞒采煤工作面人员超限。突击检查现场发现1310综放工作面3月2日八点班（检修班）在工作面运输巷作业的黄开、刘永宇等5人未携带定位卡；经核查人员定位系统发现综采工区职工3月1日四点班（生产班）24人、3月2日八点班26人在238号人员定位基站（区段集中运输巷机头）异常集中，3月2日零点班24人在235号人员定位基站（五联巷与顺槽皮带三岔口）异常集中。经对综采工区相关人员调查取证和核查三个班次的出勤及工作量记录，该矿存在矿井存在人卡分离隐瞒采煤工作面作业人数,三个班次中工作面区域作业人数最多为3月1日四点班31人,超出国家限员规定的24%。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第五项;《煤矿单班入井（坑）作业人数限员规定》第五条",《煤矿重大事故隐患判定标准》第十八条第五项
